U,V,NO1,NO2,NO3,NO4,NO5,NO6,NO7,NO8,NO9,NO10,NO11,NO12
0.45,0.405,43.9,55.9,58.9,36.9,51.9,57.9,35.9,47.9,55.9,40.9,25.9,60.9
0.35,0.405,45.9,55.9,59.9,37.9,50.9,60.9,37.9,48.9,55.9,40.9,29.9,60.9
0.25,0.405,47.9,57.9,61.9,39.9,52.9,62.9,38.9,49.9,60.9,44.9,30.9,62.9
0.15,0.405,51.9,60.9,74.9,40.9,55.9,66.9,41.9,53.9,66.9,45.9,34.9,67.9
0.05,0.405,52.9,58.9,77.9,43.9,57.9,67.9,41.9,57.9,63.9,45.9,37.2,69.9
0.95,0.2925,42.9,54.9,57.9,39.9,52.9,59.9,33.9,47.9,52.9,39.9,27.9,59.9
0.85,0.2925,38.9,49.9,53.9,37.9,49.9,55.9,29.9,43.9,45.9,36.9,26.9,57.9
0.75,0.2925,38.4,47.9,52.9,34.9,47.9,54.9,28.9,41.9,44.9,34.9,22.9,54.9
0.65,0.2925,38.1,45.9,51.9,34.9,46.9,53.9,27.9,39.9,43.9,34.9,22.9,52.9
0.55,0.2925,37.8,45.9,49.9,32.9,45.9,52.9,27.9,39.9,45.9,33.9,22.5,51.9
0.45,0.2925,38.9,46.9,50.9,33.9,46.9,52.9,28.9,39.9,45.9,34.9,21.9,53.9
0.35,0.2925,39.3,46.9,52.9,34.9,47.9,53.9,29.9,39.9,44.9,34.9,23.9,56.9
0.25,0.2925,39.6,47.9,53.9,35.9,48.9,57.9,28.9,39.9,44.9,36.9,23.9,58.9
0.15,0.2925,40.9,50.9,54.9,37.9,49.9,58.9,29.9,41.9,49.9,37.9,26.9,61.9
0.05,0.2925,42.9,52.9,56.9,39.9,54.9,60.9,32.9,43.9,52.9,40.9,29.3,64.9
